1,Building data science products and data driven strategy across startups and large firms. Ex-Sr.Manager at Morgan Stanley. Ex-Data Scientist at GE.       ,Zapr,Data Scientist,2006,B.Tech.,India,Mechanical Engineering,Analytics,4,0,1,0,Bengaluru,Male,AL101
2,"Running AI trading firm with cutting edge AI technologies. I have experience in ML and Analytics. Ex-InMobi, Embibe. Research Associate at IIMB(2012-13)",Helfie Mobile Solutions,CEO,2008,M.Tech.,India,Computer Science & Engineering,Analytics,4,0,1,0,Pune,Male,AL102
3,"He consults organisations on strategy execution and business transformation. He has experience in business process optimization, analytics and digitization.",Millicodes,Founder & CEO,1983,B.Tech.,India,Mechanical Engineering,Analytics,2,0,1,0,Mumbai,Male,AL103
4,Working in the fields of business and data analytics at Uber.Ex-Senior Analyst at Fractal Analytics. Former Business and Data Analyst at Philips Lighting ltd.,Uber Ltd.,Risk Analyst,2014,B.Tech.,India,Metallurgical Engineering & Materials Science,Analytics,2,0,1,0,Bangalore,Male,AL104
5,"Responsible for collecting amount lent to customers. Working closely with analytics, technology, communications, user experience and customer operations team.",Gain Credit,Manager Collections Data Science,2016,M.Sc.,India,Mathematics,Analytics,2,0,1,0,Nashik,Male,AL105
6,He has worked in the analytics and consulting industries for the last 3 years. His focus is to keep going ahead to work in data science and business analytics,Ernst & Young Global Limited,Senior Associate,2018,Dual Degree,Singapore,Chemical Engineering,Analytics,2,0,1,0,Singapore,Male,AL106
7,Making core thermal power plants more efficient. Business lead to Modernize power plants. Digitalization of power plants with embedded Artificial Intelligence and Machine Learning,Siemens Limited,Chief Manager,2005,M.Tech.,India,Energy Science & Engineering,Analytics,2,0,1,0,Gurgaon,Male,AL107
8,"Primarily worked in Credit Risk Management which involved bank-wide Model Governance, region-wide Basel IRB project management & implementation, IRB model & scorecard development, Data Visualization.",HSBC GR,Vice President,2004,M.Sc.,India,Mathematics,Analytics,1,0,1,0,Kolkata,Male,AL108
9,Manages programs that improve operational capabilities of Apple's supply chain.He has led several global cross-functional teams and successfully implemented projects in various areas of supply chain planning.,Apple,Retail Program Manager,2001,B.Tech.,United States,Mechanical Engineering,Analytics,2,0,1,0,Mountain View,Male,AL109
10,"Manages Honeywell's Asset Performance Management software product.Manage a team in R&D to conduct research on steam products, develop them and release in the market; Served as Technical Consultant:U.S. Air Force",Honeywell,Senior Offering Manager,2000,B.Tech.,India,Aerospace Engineering,Analytics,2,0,1,0,Chennai,Male,AL110
11,"Manufacturing and SC network design analytics.Specialties: Manufacturing analytics, Supply chain analytics, Machine Learning, R programming, Agile Project Management, Network Optimization, Simulation, Data Management",General Mills,"Senior Manager, Supply chain analytics",2012,M.Tech.,India,Industrial Engineering & Operations Research - I.E.O.R.,Analytics,1,0,1,0,Mumbai,Female,AL111
12,Currently in a data scientist role working for a chemical company. He has  a research background in computational chemistry. He has experience in developing Graph Neural Network based deep learning framework using PyTorch,Covestro,Data Scientist,2003,B.Tech.,Germany,Engineering Physics,Analytics,4,0,1,0,Munich,Male,AL112
13,"18 years experience with Microsoft, shipping multiple products from Windows to Bing. Currently working as a freelancer in MUST research academy. Working on cutting edge deep learning/machine learning problems since the last 5 years.",MUST Research Academy,Principal Data Scientist,2003,M.Tech.,India,Computer Science & Engineering,Analytics,3,0,1,0,Hyderabad,Female,AL113
14,"Over 17 years of rich work experience in the field of data science, advanced analytics, machine learning, FinTech, Platform and Cloud based data solution. Other activities include data science competency development, academic collaboration",Wipro Ltd,"Consulting Partner - Data, Analytics and Artificial Intelligence",2004,M.Sc.,United Kingdom,Mathematics,Analytics,4,0,1,0,London,Male,AL114
15,"Ex-Associate at JP Morgan & Chase. Decision Analytics, Resource Planning and Optimization. An Operations Research and Analytics Professional with over 5+ years of versatile experience in domains of Banking, Aviation, Supply Chain, Logistics ",Tata Insights & Quants,Manager,2012,M.Tech.,India,Industrial Engineering & Operations Research - I.E.O.R.,Analytics,1,0,1,0,Mumbai,Male,AL115
16,"Data science, working on multiple problems related to ML, Optimisation.Experienced ML Engineer with a demonstrated history of working in the internet, finance and transport industry. Skilled in C++, Python, R, Scala, Apache Spark, Hadoop/Hive.",Facebook,ML Engineer,2005,M.Tech.,India,Other,Analytics,2,0,1,0,Bangalore,Male,AL116
